title;price_str;price;url
Видеокарта GTX 1080 Ti AORUS Xtreme Edition 11G;24 999 грн.Договорная;24999;https://www.olx.ua/d/obyavlenie/videokarta-gtx-1080-ti-aorus-xtreme-edition-11g-IDN9GRR.html#8541ba4a1b
Видеокарта MSI VN210-MD512H  GeForce 210 512Mb DDR2;300 грн.;300;https://www.olx.ua/d/obyavlenie/videokarta-msi-vn210-md512h-geforce-210-512mb-ddr2-IDNmjOL.html?sd=1#8541ba4a1b
Rtx 3090 evga FTW3 ultra Gaming 24Gb без LHR;52 000 грн.;52000;https://www.olx.ua/d/obyavlenie/rtx-3090-evga-ftw3-ultra-gaming-24gb-bez-lhr-IDNmjMc.html#8541ba4a1b
Продам видеокарту Gtx 1060 3gb;7 200 грн.;7200;https://www.olx.ua/d/obyavlenie/prodam-videokartu-gtx-1060-3gb-IDNmjJO.html?sd=1#8541ba4a1b
видеокарта Asus strix gtx 1080;19 999 грн.;19999;https://www.olx.ua/d/obyavlenie/videokarta-asus-strix-gtx-1080-IDNiwAC.html?sd=1#8541ba4a1b
Видеокарта Asus hd7770. Под ремонт;500 грн.Договорная;500;https://www.olx.ua/d/obyavlenie/videokarta-asus-hd7770-pod-remont-IDJsAKT.html?sd=1#8541ba4a1b
GT 520 1Gb DDR-3;650 грн.;650;https://www.olx.ua/d/obyavlenie/gt-520-1gb-ddr-3-IDNmi4c.html?sd=1#8541ba4a1b
Видеокарта Palit GT 630 видео карта;999 грн.Договорная;999;https://www.olx.ua/d/obyavlenie/videokarta-palit-gt-630-video-karta-IDNmjni.html?sd=1#8541ba4a1b
HDMI-VGA со звуком. Конвертер. Переходник.TV. Т2.ПК.PS3.PS4.Xbox;85 грн.;85;https://www.olx.ua/d/obyavlenie/hdmi-vga-so-zvukom-konverter-perehodnik-tv-t2-pk-ps3-ps4-xbox-IDEZn6C.html?sd=1#8541ba4a1b
игровая видеокарта ASUS Strix RX470 4GB;5 999 грн.;5999;https://www.olx.ua/d/obyavlenie/igrovaya-videokarta-asus-strix-rx470-4gb-IDNminm.html?sd=1#8541ba4a1b
Asus GTX 1070 8Gb ROG Strix;16 300 грн.Договорная;16300;https://www.olx.ua/d/obyavlenie/asus-gtx-1070-8gb-rog-strix-IDNmiml.html?sd=1#8541ba4a1b
Видеокарта Gigabyte GTX 1660 super 6G;10 000 грн.;10000;https://www.olx.ua/d/obyavlenie/videokarta-gigabyte-gtx-1660-super-6g-IDNmim7.html?sd=1#8541ba4a1b
Видеокарта Gigabyte GV-RX13P256DE-RH, Radeon X1300 Pro, 256Mb, Pci Exp;90 грн.Договорная;90;https://www.olx.ua/d/obyavlenie/videokarta-gigabyte-gv-rx13p256de-rh-radeon-x1300-pro-256mb-pci-exp-IDM5gUa.html?sd=1#8541ba4a1b
